Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_6902,unique,-,-,-,-,-,-,-,-,-
cluster_6903,unique,-,-,-,-,-,-,-,-,-
cluster_6904,unique,PQ,Belongs to the peptidase S51 family,Dipeptidase E[3.4.13.21]; Cyanophycinase[3.4.15.6],dipeptidase E[K05995]; cyanophycinase[K13282],-,[L-Asp(4-L-Arg)]n+1(n) + H2O <=> [L-Asp(4-L-Arg)]n(n-1) + L-Asp(4-L-Arg)[R09722],-,-,-
cluster_6905,unique,-,-,-,-,-,-,-,-,-
cluster_6906,unique,-,-,-,-,-,-,-,-,-
cluster_6907,unique,-,-,-,-,-,-,-,-,-
cluster_6908,unique,-,-,-,-,-,-,-,-,-
cluster_6909,unique,-,-,-,-,-,-,-,-,-
cluster_6910,unique,-,-,-,-,-,-,-,-,-
cluster_6911,unique,-,-,-,-,-,-,-,-,-
cluster_6912,unique,-,-,-,-,-,-,-,-,-
cluster_6913,unique,-,-,-,-,-,-,-,-,-
cluster_6914,unique,-,-,-,-,-,-,-,-,-
cluster_6915,unique,-,-,-,-,-,-,-,-,-
cluster_6916,unique,-,-,-,-,-,-,-,-,-
cluster_6917,unique,-,-,-,-,-,-,-,-,-
cluster_6918,unique,-,-,-,-,-,-,-,-,-
cluster_6919,unique,E,"Alanine racemase, N-terminal domain",Ornithine racemase[5.1.1.12],ornithine racemase[K21898],-,L-Ornithine <=> D-Ornithine[R00672],-,-,-
cluster_6920,unique,-,-,-,-,-,-,-,-,-
cluster_6921,unique,-,-,-,-,-,-,-,-,-
cluster_6922,unique,-,-,-,-,-,-,-,-,-
cluster_6923,unique,S,Nitrate reductase delta subunit,-,-,-,-,-,-,-
cluster_6924,unique,-,-,-,-,-,-,-,-,-
cluster_6925,unique,-,-,-,-,-,-,-,-,-
cluster_6926,unique,-,-,-,-,-,-,-,-,-
cluster_6927,unique,O,sequence-specific DNA binding,-,"uncharacterized protein[K07108]; LuxR family transcriptional regulator, glucitol operon activator[K16247]",-,-,-,-,-
cluster_6928,unique,I,"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA",Acetate--CoA ligase[6.2.1.1],acetyl-CoA synthetase[K01895],Glycolysis / Gluconeogenesis[map00010]; Pyruvate metabolism[map00620]; Propanoate metabolism[map00640]; Methane metabolism[map00680]; Carbon fixation pathways in prokaryotes[map00720]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA[R00235]; Acetyl adenylate + CoA <=> AMP + Acetyl-CoA[R00236]; ATP + Acetate <=> Diphosphate + Acetyl adenylate[R00316]; Propionyladenylate + CoA <=> AMP + Propanoyl-CoA[R00926]; ATP + Propanoate <=> Diphosphate + Propionyladenylate[R01354],-,-,-
cluster_6929,unique,EGP,Major Facilitator,-,-,-,-,-,-,-
cluster_6930,unique,-,-,-,-,-,-,-,-,-
cluster_6931,unique,-,-,-,-,-,-,-,-,-
cluster_6932,unique,J,RNA pseudouridylate synthase,tRNA pseudouridine(32) synthase[5.4.99.28]; 23S rRNA pseudouridine(746) synthase[5.4.99.29],tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase[K06177],-,-,-,-,-
cluster_6933,unique,-,-,-,-,-,-,-,-,-
cluster_6934,unique,K,transcriptional antiterminator,Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase[2.7.1.202],fructose PTS system EIIA component[K02768]; fructose PTS system EIIB component[K02769]; fructose PTS system EIIBC or EIIC component[K02770]; lichenan operon transcriptional antiterminator[K03491],Fructose and mannose metabolism[map00051]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Phosphotransferase system (PTS)[map02060],Protein N(pi)-phospho-L-histidine + D-Fructose <=> Protein histidine + D-Fructose 1-phosphate[R03232],-,-,-
cluster_6935,unique,-,-,-,-,-,-,-,-,-
cluster_6936,unique,K,transcriptional antiterminator,Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase[2.7.1.202],fructose PTS system EIIA component[K02768]; fructose PTS system EIIB component[K02769]; fructose PTS system EIIBC or EIIC component[K02770]; lichenan operon transcriptional antiterminator[K03491],Fructose and mannose metabolism[map00051]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Phosphotransferase system (PTS)[map02060],Protein N(pi)-phospho-L-histidine + D-Fructose <=> Protein histidine + D-Fructose 1-phosphate[R03232],-,-,-
cluster_6937,unique,-,-,-,-,-,-,-,-,-
cluster_6938,unique,K,transcriptional antiterminator,Protein-N(pi)-phosphohistidine--D-fructose phosphotransferase[2.7.1.202],fructose PTS system EIIA component[K02768]; fructose PTS system EIIB component[K02769]; fructose PTS system EIIBC or EIIC component[K02770]; lichenan operon transcriptional antiterminator[K03491],Fructose and mannose metabolism[map00051]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Phosphotransferase system (PTS)[map02060],Protein N(pi)-phospho-L-histidine + D-Fructose <=> Protein histidine + D-Fructose 1-phosphate[R03232],-,-,-
cluster_6939,unique,-,-,-,-,-,-,-,-,-
cluster_6940,unique,-,-,-,-,-,-,-,-,-
cluster_6941,unique,L,4.5 Transposon and IS,-,-,-,-,-,-,-
cluster_6942,unique,L,4.5 Transposon and IS,-,-,-,-,-,-,-
cluster_6943,unique,-,-,-,-,-,-,-,-,-
cluster_6944,unique,S,ATPases associated with a variety of cellular activities,-,"ATP-binding cassette, subfamily F, member 3[K06158]; macrolide transport system ATP-binding/permease protein[K18230]",ABC transporters[map02010],-,-,-,-
cluster_6945,unique,L,Transposase and inactivated derivatives,-,-,-,-,-,-,-
cluster_6946,unique,C,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and nucleotide specificity is provided by the beta subunit",Succinate--CoA ligase (ADP-forming)[6.2.1.5],succinyl-CoA synthetase alpha subunit[K01902],Citrate cycle (TCA cycle)[map00020]; Propanoate metabolism[map00640]; C5-Branched dibasic acid metabolism[map00660]; Carbon fixation pathways in prokaryotes[map00720]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],ATP + Succinate + CoA <=> ADP + Orthophosphate + Succinyl-CoA[R00405]; ATP + Itaconate + CoA <=> ADP + Orthophosphate + Itaconyl-CoA[R02404],-,-,-
cluster_6947,unique,H,subunit ChlI,Magnesium chelatase[6.6.1.1],magnesium chelatase subunit D[K03404]; magnesium chelatase subunit I[K03405],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],ATP + Protoporphyrin + Magnesium cation + H2O <=> ADP + Orthophosphate + Magnesium protoporphyrin + 2 H+[R03877],-,-,-
cluster_6948,unique,J,hydrolases of the HAD superfamily,-,-,-,-,-,-,-
cluster_6949,unique,H,subunit ChlI,Magnesium chelatase[6.6.1.1],magnesium chelatase subunit D[K03404]; magnesium chelatase subunit I[K03405],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],ATP + Protoporphyrin + Magnesium cation + H2O <=> ADP + Orthophosphate + Magnesium protoporphyrin + 2 H+[R03877],-,-,-
cluster_6950,unique,-,-,-,-,-,-,-,-,-
cluster_6951,unique,-,-,-,-,-,-,-,-,-
cluster_6952,unique,-,-,-,-,-,-,-,-,-
cluster_6953,unique,-,-,-,-,-,-,-,-,-
cluster_6954,unique,-,-,-,-,-,-,-,-,-
cluster_6955,unique,-,-,-,-,-,-,-,-,-
cluster_6956,unique,-,-,-,-,-,-,-,-,-
cluster_6957,unique,-,-,-,-,-,-,-,-,-
cluster_6958,unique,-,-,-,-,-,-,-,-,-
cluster_6959,unique,-,-,-,-,-,-,-,-,-
cluster_6960,unique,-,-,-,-,-,-,-,-,-
cluster_6961,unique,S,Rop protein,-,-,-,-,-,-,-
cluster_6962,unique,S,Bacterial mobilisation protein (MobC),-,-,-,-,-,-,-
cluster_6963,unique,V,ABC transporter,-,"ATP-binding cassette, subfamily B, bacterial[K06147]; ATP-binding cassette, subfamily C, bacterial[K06148]; ATP-binding cassette, subfamily C, bacterial CydC[K16012]",ABC transporters[map02010],-,-,-,-
cluster_6964,unique,-,-,-,-,-,-,-,-,-
cluster_6965,unique,Q,methyltransferase,Homoserine O-acetyltransferase[2.3.1.31],homoserine O-acetyltransferase/O-succinyltransferase[K00641],Cysteine and methionine metabolism[map00270]; Metabolic pathways[map01100],Acetyl-CoA + L-Homoserine <=> CoA + O-Acetyl-L-homoserine[R01776],-,-,-
cluster_6966,unique,L,Transposase and inactivated derivatives,DNA-directed DNA polymerase[2.7.7.7],DNA polymerase III subunit epsilon[K02342],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100]; DNA replication[map03030]; Mismatch repair[map03430]; Homologous recombination[map03440],dATP + DNA <=> Diphosphate + DNA[R00375]; dGTP + DNA <=> Diphosphate + DNA[R00376]; dCTP + DNA <=> Diphosphate + DNA[R00377]; dTTP + DNA <=> Diphosphate + DNA[R00378],-,-,-
cluster_6967,unique,-,-,-,-,-,-,-,-,-
cluster_6968,unique,S,Protein of unknown function (DUF721),-,-,-,-,-,-,-
cluster_6969,unique,-,-,-,-,-,-,-,-,-
cluster_6970,unique,-,-,-,-,-,-,-,-,-
cluster_6971,unique,-,-,-,-,-,-,-,-,-
cluster_6972,unique,-,-,-,-,-,-,-,-,-
cluster_6973,unique,-,-,-,-,-,-,-,-,-
cluster_6974,unique,D,VirC1 protein,-,chromosome partitioning protein[K03496],-,-,-,-,-
cluster_6975,unique,-,-,-,-,-,-,-,-,-
cluster_6976,unique,-,-,-,-,-,-,-,-,-
cluster_6977,unique,K,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released,-,RNA polymerase sigma-B factor[K03090]; RNA polymerase sporulation-specific sigma factor[K03091]; RNA polymerase sigma factor[K03093],-,-,-,-,-
cluster_6978,unique,-,-,-,-,-,-,-,-,-
cluster_6979,unique,F,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides,Ribonucleoside-diphosphate reductase[1.17.4.1],ribonucleoside-diphosphate reductase alpha chain[K00525],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100],dADP + Thioredoxin disulfide + H2O <=> Thioredoxin + ADP[R02017]; dUDP + Thioredoxin disulfide + H2O <=> Thioredoxin + UDP[R02018]; dGDP + Thioredoxin disulfide + H2O <=> GDP + Thioredoxin[R02019]; dCDP + Thioredoxin disulfide + H2O <=> Thioredoxin + CDP[R02024],-,-,-
cluster_6980,unique,-,-,-,-,-,-,-,-,-
cluster_6981,unique,-,-,-,-,-,-,-,-,-
cluster_6982,unique,-,-,-,-,-,-,-,-,-
cluster_6983,unique,-,-,-,-,-,-,-,-,-
cluster_6984,unique,-,-,-,-,-,-,-,-,-
cluster_6985,unique,-,-,-,-,-,-,-,-,-
cluster_6986,unique,L,Belongs to the helicase family. UvrD subfamily,DNA helicase[3.6.4.12],ATP-dependent DNA helicase UvrD/PcrA[K03657]; putative RecB family exonuclease[K07465],Nucleotide excision repair[map03420]; Mismatch repair[map03430],-,-,-,-
cluster_6987,unique,-,-,-,-,-,-,-,-,-
cluster_6988,unique,-,-,-,-,-,-,-,-,-
cluster_6989,unique,-,-,-,-,-,-,-,-,-
cluster_6990,unique,-,-,-,-,-,-,-,-,-
cluster_6991,unique,-,-,-,-,-,-,-,-,-
cluster_6992,unique,-,-,-,-,-,-,-,-,-
cluster_6993,unique,-,-,-,-,-,-,-,-,-
cluster_6994,unique,-,-,-,-,-,-,-,-,-
cluster_6995,unique,-,-,-,-,-,-,-,-,-
cluster_6996,unique,-,-,-,-,-,-,-,-,-
cluster_6997,unique,-,-,-,-,-,-,-,-,-
cluster_6998,unique,-,-,-,-,-,-,-,-,-
cluster_6999,unique,-,-,-,-,-,-,-,-,-
cluster_7000,unique,-,-,-,-,-,-,-,-,-
cluster_7001,unique,-,-,-,-,-,-,-,-,-
cluster_7002,unique,-,-,-,-,-,-,-,-,-
cluster_7003,unique,S,"Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation",Nicotinate-nucleotide adenylyltransferase[2.7.7.18],nicotinate-nucleotide adenylyltransferase[K00969]; ribosome-associated protein[K09710],Nicotinate and nicotinamide metabolism[map00760]; Metabolic pathways[map01100],ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+[R00137]; ATP + Nicotinate D-ribonucleotide <=> Diphosphate + Deamino-NAD+[R03005],-,-,-
cluster_7004,unique,-,-,-,-,-,-,-,-,-
cluster_7005,unique,-,-,-,-,-,-,-,-,-
cluster_7006,unique,-,-,-,-,-,-,-,-,-
cluster_7007,unique,-,-,-,-,-,-,-,-,-
cluster_7008,unique,-,-,-,-,-,-,-,-,-
cluster_7009,unique,-,-,-,-,-,-,-,-,-
cluster_7010,unique,-,-,-,-,-,-,-,-,-
cluster_7011,unique,-,-,-,-,-,-,-,-,-
cluster_7012,unique,-,-,-,-,-,-,-,-,-
cluster_7013,unique,-,-,-,-,-,-,-,-,-
cluster_7014,unique,-,-,-,-,-,-,-,-,-
cluster_7015,unique,-,-,-,-,-,-,-,-,-
cluster_7016,unique,-,-,-,-,-,-,-,-,-
cluster_7017,unique,-,-,-,-,-,-,-,-,-
cluster_7018,unique,-,-,-,-,-,-,-,-,-
cluster_7019,unique,-,-,-,-,-,-,-,-,-
cluster_7020,unique,-,-,-,-,-,-,-,-,-
cluster_7021,unique,-,-,-,-,-,-,-,-,-
cluster_7022,unique,M,Lamin Tail Domain,5'-nucleotidase[3.1.3.5],5'-nucleotidase[K01081]; uncharacterized protein[K07004],Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Nicotinate and nicotinamide metabolism[map00760]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],AMP + H2O <=> Adenosine + Orthophosphate[R00183]; CMP + H2O <=> Cytidine + Orthophosphate[R00511]; UMP + H2O <=> Uridine + Orthophosphate[R00963]; IMP + H2O <=> Inosine + Orthophosphate[R01126]; GMP + H2O <=> Guanosine + Orthophosphate[R01227]; dTMP + H2O <=> Thymidine + Orthophosphate[R01569]; dCMP + H2O <=> Deoxycytidine + Orthophosphate[R01664]; dGMP + H2O <=> Deoxyguanosine + Orthophosphate[R01968]; dAMP + H2O <=> Deoxyadenosine + Orthophosphate[R02088]; dUMP + H2O <=> Deoxyuridine + Orthophosphate[R02102]; Nicotinamide D-ribonucleotide + H2O <=> Nicotinamide-beta-riboside + Orthophosphate[R02323]; Xanthosine 5'-phosphate + H2O <=> Xanthosine + Orthophosphate[R02719]; Nicotinate D-ribonucleotide + H2O <=> Nicotinate D-ribonucleoside + Orthophosphate[R03346],-,-,-
cluster_7023,unique,-,-,-,-,-,-,-,-,-
cluster_7024,unique,S,Protein of unknown function (DUF3117),-,-,-,-,-,-,-
cluster_7025,unique,J,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,-,large subunit ribosomal protein L14[K02874],Ribosome[map03010],-,-,-,-
cluster_7026,unique,J,Belongs to the universal ribosomal protein uL29 family,-,large subunit ribosomal protein L29[K02904],Ribosome[map03010],-,-,-,-
cluster_7027,unique,J,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",-,small subunit ribosomal protein S8[K02994],Ribosome[map03010],-,-,-,-
cluster_7028,unique,-,-,-,-,-,-,-,-,-
cluster_7029,unique,H,pantothenate kinase activity,Pantothenate kinase[2.7.1.33],type I pantothenate kinase[K00867],Pantothenate and CoA biosynthesis[map00770]; Metabolic pathways[map01100],ATP + Pantetheine <=> ADP + Pantetheine 4'-phosphate[R02971]; ATP + Pantothenate <=> ADP + D-4'-Phosphopantothenate[R03018]; ATP + N-((R)-Pantothenoyl)-L-cysteine <=> ADP + (R)-4'-Phosphopantothenoyl-L-cysteine[R04391],-,-,-
cluster_7030,unique,J,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center",-,large subunit ribosomal protein L6[K02933],Ribosome[map03010],-,-,-,-
cluster_7031,unique,O,"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE",-,ATP-dependent Clp protease ATP-binding subunit ClpA[K03694]; ATP-dependent Clp protease ATP-binding subunit ClpB[K03695]; ATP-dependent Clp protease ATP-binding subunit ClpC[K03696],Metabolic pathways[map01100],-,-,-,-
cluster_7032,unique,P,Binding-protein-dependent transport system inner membrane component,-,D-methionine transport system permease protein[K02072],ABC transporters[map02010],-,-,-,-
cluster_7033,unique,G,Fructose-bisphosphate aldolase class II,Fructose-bisphosphate aldolase[4.1.2.13],"fructose-bisphosphate aldolase, class II[K01624]",Glycolysis / Gluconeogenesis[map00010]; Pentose phosphate pathway[map00030]; Fructose and mannose metabolism[map00051]; Methane metabolism[map00680]; Carbon fixation in photosynthetic organisms[map00710]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Biosynthesis of amino acids[map01230],"D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate[R01068]; beta-D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate[R01070]; Sedoheptulose 1,7-bisphosphate <=> Glycerone phosphate + D-Erythrose 4-phosphate[R01829]; D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde[R02568]",-,-,-
cluster_7034,unique,-,-,-,-,-,-,-,-,-
cluster_7035,unique,J,"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance",-,large subunit ribosomal protein L18[K02881],Ribosome[map03010],-,-,-,-
cluster_7036,unique,J,"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome",-,small subunit ribosomal protein S11[K02948],Ribosome[map03010],-,-,-,-
cluster_7037,unique,J,One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit,-,large subunit ribosomal protein L24[K02895],Ribosome[map03010],-,-,-,-
cluster_7038,unique,F,Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,Phosphoribosylformylglycinamidine synthase[6.3.5.3],phosphoribosylformylglycinamidine synthase[K01952],Purine metabolism[map00230]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],ATP + 5'-Phosphoribosyl-N-formylglycinamide + L-Glutamine + H2O <=> ADP + Orthophosphate + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine + L-Glutamate[R04463],-,-,-
cluster_7039,unique,E,Amino acid kinase family,Carbamate kinase[2.7.2.2],carbamate kinase[K00926],Arginine biosynthesis[map00220]; Purine metabolism[map00230]; Nitrogen metabolism[map00910]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O[R00150]; ATP + Carbamate <=> ADP + Carbamoyl phosphate[R01395],-,-,-
cluster_7040,unique,U,"The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently",-,preprotein translocase subunit SecY[K03076],Quorum sensing[map02024]; Protein export[map03060]; Bacterial secretion system[map03070],-,-,-,-
cluster_7041,unique,HP,ATP-binding protein,ABC-type ferric hydroxamate transporter[3.6.3.34],iron complex transport system ATP-binding protein[K02013],ABC transporters[map02010],-,-,-,-
cluster_7042,unique,HP,ATP-binding protein,ABC-type ferric hydroxamate transporter[3.6.3.34],iron complex transport system ATP-binding protein[K02013],ABC transporters[map02010],-,-,-,-
cluster_7043,unique,J,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit",-,small subunit ribosomal protein S4[K02986],Ribosome[map03010],-,-,-,-
cluster_7044,unique,Q,Isochorismatase family,-,-,-,-,-,-,-
cluster_7045,unique,J,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits",-,small subunit ribosomal protein S13[K02952],Ribosome[map03010],-,-,-,-
cluster_7046,unique,J,Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body,-,small subunit ribosomal protein S5[K02988],Ribosome[map03010],-,-,-,-
cluster_7047,unique,O,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",N(6)-L-threonylcarbamoyladenine synthase[2.3.1.234],N6-L-threonylcarbamoyladenine synthase[K01409]; preprotein translocase subunit SecA[K03070],Quorum sensing[map02024]; Protein export[map03060]; Bacterial secretion system[map03070],L-Threonylcarbamoyladenylate + tRNA adenine <=> AMP + N6-L-Threonylcarbamoyladenine in tRNA[R10648],-,-,-
cluster_7048,unique,O,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",N(6)-L-threonylcarbamoyladenine synthase[2.3.1.234],N6-L-threonylcarbamoyladenine synthase[K01409]; preprotein translocase subunit SecA[K03070],Quorum sensing[map02024]; Protein export[map03060]; Bacterial secretion system[map03070],L-Threonylcarbamoyladenylate + tRNA adenine <=> AMP + N6-L-Threonylcarbamoyladenine in tRNA[R10648],-,-,-
cluster_7049,unique,T,GTP-binding protein TypA,-,GTP-binding protein[K06207],-,-,-,-,-
cluster_7050,unique,E,amidinotransferase,Glycine amidinotransferase[2.1.4.1],glycine amidinotransferase[K00613],"Glycine, serine and threonine metabolism[map00260]; Arginine and proline metabolism[map00330]; Metabolic pathways[map01100]",L-Arginine + Glycine <=> L-Ornithine + Guanidinoacetate[R00565]; L-Arginine + 4-Aminobutanoate <=> L-Ornithine + 4-Guanidinobutanoate[R01989],-,-,-
cluster_7051,unique,J,Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs,-,large subunit ribosomal protein L16[K02878],Ribosome[map03010],-,-,-,-
cluster_7052,unique,O,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,-,chaperonin GroEL[K04077],RNA degradation[map03018]; Legionellosis[map05134]; Tuberculosis[map05152],-,-,-,-
cluster_7053,unique,O,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter,-,chaperonin GroES[K04078],-,-,-,-,-
cluster_7054,unique,O,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter,-,chaperonin GroES[K04078],-,-,-,-,-
cluster_7055,unique,F,Belongs to the purine-cytosine permease (2.A.39) family,-,"nucleobase:cation symporter-1, NCS1 family[K03457]",-,-,-,-,-
cluster_7056,unique,C,Ferredoxin,Cobaltochelatase[6.6.1.2],cobaltochelatase CobN[K02230],Porphyrin metabolism[map00860]; Metabolic pathways[map01100],"Hydrogenobyrinate a,c diamide + Cobalt ion + ATP + H2O <=> Cob(II)yrinate a,c diamide + Orthophosphate + ADP + H+[R05227]",-,-,-
cluster_7057,unique,J,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,-,small subunit ribosomal protein S19[K02965],Ribosome[map03010],-,-,-,-
cluster_7058,unique,F,Deoxycytidylate deaminase,dCMP deaminase[3.5.4.12],dCMP deaminase[K01493],Pyrimidine metabolism[map00240]; Metabolic pathways[map01100],dCMP + H2O <=> dUMP + Ammonia[R01663],-,-,-
cluster_7059,unique,P,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,Superoxide dismutase[1.15.1.1],"superoxide dismutase, Fe-Mn family[K04564]",Peroxisome[map04146],-,-,-,-
cluster_7060,unique,C,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane,NAD(P)(+) transhydrogenase (Re/Si-specific)[1.6.1.2],H+-translocating NAD(P) transhydrogenase subunit beta[K00325],Nicotinate and nicotinamide metabolism[map00760]; Metabolic pathways[map01100],NADPH + NAD+ <=> NADP+ + NADH[R00112],-,-,-
cluster_7061,unique,J,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA",-,small subunit ribosomal protein S17[K02961],Ribosome[map03010],-,-,-,-
cluster_7062,unique,G,"Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration",ADP-dependent NAD(P)H-hydrate dehydratase[4.2.1.136]; NAD(P)H-hydrate epimerase[5.1.99.6],ADP-dependent NAD(P)H-hydrate dehydratase[K17758]; NAD(P)H-hydrate epimerase[K17759],-,-,-,-,-
cluster_7063,unique,G,"Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration",ADP-dependent NAD(P)H-hydrate dehydratase[4.2.1.136]; NAD(P)H-hydrate epimerase[5.1.99.6],ADP-dependent NAD(P)H-hydrate dehydratase[K17758]; NAD(P)H-hydrate epimerase[K17759],-,-,-,-,-
